asset_id,material,service_type,diameter_mm,initial_thickness_mm,install_year,environment_severity,actual_total_loss_mm,expected_loss_physics_mm,residual_loss_mm,early_slope_mm_per_month,late_slope_mm_per_month,accel_ratio,pressure_mean,pressure_std,flow_mean,flow_std,temperature_mean,temperature_std,vibration_mean,vibration_std,n_sensor_glitches,is_anomalous_label,anomaly_onset_month,wall_loss_pct,remaining_strength_factor,b31g_severity_class,rf_severity_proba,iso_max_anomaly_score,risk_score
AST-0107,Carbon Steel - Uncoated,Mixed,168,7.74,1980,0.802,2.489,1.35,1.139,0.05067,0.08761,1.729,49.922777777777775,9.22182027619001,537.2713888888889,113.9122407106899,24.26527777777777,3.684754293891142,1.3753055555555556,0.2911625779962061,3,True,16,32.75,0.8943,Monitor,0.8959645692174102,0.5773198532121772,63.3
AST-0060,Carbon Steel - Uncoated,Sour/Wet,273,6.32,1976,0.427,5.757,1.95,3.807,0.23983,0.08,0.334,55.97638888888889,2.7756370211207138,473.9713888888889,73.5651945712209,53.17555555555556,3.8342594326447705,3.1509166666666664,0.281047263437512,1,True,8,92.09,0.0,Critical,0.38242561803731706,0.4797788604388054,62.5
AST-0074,Carbon Steel - Uncoated,Mixed,168,6.44,1985,0.716,3.554,1.35,2.204,0.07411,0.12333,1.664,84.66444444444443,2.443192810874965,452.8425,69.50674612171521,48.68138888888889,3.63163100137648,1.8633333333333335,0.2024219073406546,1,True,11,55.99,0.7593,Monitor,0.8913620329508781,0.4628153794136186,62.4
AST-0104,Low Alloy Steel,Sweet/Dry,219,11.08,2014,0.881,1.649,0.6,1.049,0.0365,0.05511,1.51,74.20166666666667,3.1292495677307146,727.1219444444445,109.38626609587158,38.40388888888888,3.6825148842897946,3.2176666666666662,0.229445542869887,1,True,9,15.09,0.9903,Safe,0.8860910316429337,0.5141358102467076,56.4
AST-0106,Carbon Steel - Coated,Sour/Wet,324,9.27,2000,0.583,2.046,0.78,1.266,0.04806,0.06561,1.365,85.30555555555554,9.556434614419883,599.4936111111112,90.27385905922291,59.18083333333334,3.91166634203744,2.69925,0.9256154516243312,2,True,9,22.19,0.93,Safe,0.8115084635445917,0.5458590158374101,56.0
AST-0111,Carbon Steel - Uncoated,Sweet/Dry,406,9.35,2000,0.995,2.337,0.9,1.437,0.05161,0.07822,1.516,59.890833333333326,14.003518817986938,407.2661111111111,17.51126629634725,17.76222222222222,3.741242811924639,1.6111111111111112,0.8458992435028716,1,True,11,25.36,0.9566,Safe,0.853031276636067,0.5100529592141272,55.6
AST-0139,Carbon Steel - Coated,Sour/Wet,508,8.24,1999,0.424,1.233,0.78,0.453,0.0135,0.055,4.074,75.66833333333334,9.735360731448452,440.2344444444444,70.00914187016451,52.445,3.823381823913036,1.4811111111111113,0.7266285660610055,2,True,18,15.28,0.9775,Safe,0.8404429507317636,0.536370566397968,55.5
AST-0134,Carbon Steel - Uncoated,Sweet/Dry,508,9.95,1994,0.415,4.176,0.9,3.276,0.08961,0.14239,1.589,67.22083333333336,2.863698283189564,245.44416666666672,17.310635768633272,34.228333333333325,3.5112053282516618,2.632222222222223,0.3153058479917202,0,True,10,42.24,0.9304,Safe,0.8923827626657203,0.4157451976979917,54.3
AST-0004,Carbon Steel - Coated,Sour/Wet,168,9.07,2016,0.735,2.135,0.78,1.355,0.02117,0.09744,4.604,49.31138888888889,3.052099186534482,655.895,17.105431134166544,59.51833333333335,3.567285883052909,3.090194444444444,0.2691722570553176,0,True,18,23.73,0.9764,Safe,0.9389301886652422,0.390667120823579,54.0
AST-0067,Carbon Steel - Coated,Sweet/Dry,324,7.24,2017,0.817,1.963,0.36,1.603,0.03533,0.07372,2.086,47.44416666666668,3.0018616842600485,494.8633333333333,17.19729596684981,35.7363888888889,3.417030584567984,2.2220555555555555,0.2965967868474875,0,True,13,27.57,0.9784,Safe,0.9227945841218523,0.4042128985411987,53.7
