asset_id,month_index,thickness_mm,pressure_bar,flow_m3h,temperature_C,vibration_mm_s,sensor_glitch_flag
AST-0001,0,7.182,58.57,285.46,22.49,2.523,False
AST-0001,1,7.156,61.98,272.0,21.96,2.43,False
AST-0001,2,7.152,61.87,266.71,18.38,2.535,False
AST-0001,3,7.138,62.56,269.79,15.99,2.612,False
AST-0001,4,7.119,64.23,246.27,16.64,2.55,False
AST-0001,5,7.111,60.75,242.59,13.9,2.57,False
AST-0001,6,7.113,60.81,246.23,14.59,2.537,False
AST-0001,7,7.115,56.77,217.52,15.82,2.496,False
AST-0001,8,7.138,55.11,247.29,17.35,2.518,False
AST-0001,9,7.116,56.36,245.95,22.89,2.576,False
AST-0001,10,7.115,56.49,258.01,22.45,2.48,False
AST-0001,11,7.109,61.52,263.93,25.25,2.518,False
AST-0001,12,7.109,58.29,275.28,24.02,2.502,False
AST-0001,13,7.115,58.93,256.15,21.49,2.556,False
AST-0001,14,7.13,61.89,270.0,21.05,2.427,False
AST-0001,15,7.106,63.25,270.29,16.52,2.517,False
AST-0001,16,7.107,63.49,241.07,14.74,2.509,False
AST-0001,17,7.1,60.14,233.96,13.15,2.445,False
AST-0001,18,7.104,60.64,225.21,13.37,2.469,False
AST-0001,19,7.094,57.76,238.86,13.48,2.498,False
AST-0001,20,7.085,57.08,241.56,18.91,2.4,False
AST-0001,21,7.076,55.5,256.17,20.25,2.403,False
AST-0001,22,7.096,56.63,251.02,22.14,2.554,False
AST-0001,23,7.091,54.87,269.2,24.02,2.516,False
AST-0001,24,7.095,62.59,261.09,23.78,2.416,False
AST-0001,25,7.073,60.68,282.23,21.62,2.495,False
AST-0001,26,7.068,59.5,263.59,19.51,2.52,False
AST-0001,27,7.068,61.7,261.0,15.03,2.469,False
AST-0001,28,7.053,63.39,253.34,14.02,2.507,False
AST-0001,29,7.058,59.67,238.33,12.34,2.508,False
AST-0001,30,7.066,59.61,234.82,14.28,2.499,False
AST-0001,31,7.072,58.12,244.16,13.37,2.517,False
AST-0001,32,7.066,57.8,229.05,17.89,2.419,False
AST-0001,33,7.049,55.1,238.49,19.18,2.43,False
AST-0001,34,7.049,57.54,257.43,22.88,2.512,False
AST-0001,35,7.053,57.99,274.35,24.73,2.429,False
AST-0002,0,13.479,63.62,387.96,55.33,2.85,False
AST-0002,1,13.458,69.06,375.87,54.04,2.808,False
AST-0002,2,13.443,66.93,403.19,51.49,2.903,False
AST-0002,3,13.412,66.75,395.24,47.52,2.805,False
AST-0002,4,13.397,66.21,385.45,44.98,2.895,False
AST-0002,5,13.384,62.48,369.52,43.43,2.879,False
AST-0002,6,13.368,63.01,368.52,46.1,2.812,False
AST-0002,7,13.341,62.5,349.82,47.69,2.768,False
AST-0002,8,13.343,61.72,357.17,52.74,2.791,False
AST-0002,9,13.31,61.98,355.89,53.13,2.846,False
AST-0002,10,13.302,60.46,356.73,55.03,2.869,False
AST-0002,11,13.303,63.17,386.47,55.07,2.832,False
AST-0002,12,13.298,62.38,402.77,54.73,2.878,False
AST-0002,13,13.281,64.48,402.37,53.18,2.768,False
AST-0002,14,13.271,63.92,395.53,50.83,2.965,False
AST-0002,15,13.254,64.5,379.53,48.88,2.73,False
AST-0002,16,13.22,65.11,377.2,47.77,2.838,False
AST-0002,17,13.228,65.65,363.35,44.83,2.853,False
AST-0002,18,13.185,64.1,343.44,47.32,2.776,False
AST-0002,19,13.136,60.15,348.39,48.0,2.875,False
AST-0002,20,13.103,59.56,365.03,48.98,2.872,False
AST-0002,21,13.04,60.77,349.73,53.57,2.899,False
AST-0002,22,12.983,59.11,366.52,54.24,2.918,False
AST-0002,23,12.913,59.56,383.53,54.62,2.871,False
AST-0002,24,12.867,60.91,398.91,54.45,3.179,False
AST-0002,25,12.818,62.05,410.7,54.84,3.032,False
AST-0002,26,12.755,66.21,392.39,48.86,2.98,False
AST-0002,27,12.724,65.8,394.62,47.08,3.12,False
AST-0002,28,12.679,64.18,373.12,46.18,3.016,False
AST-0002,29,12.635,63.47,345.28,46.32,3.204,False
AST-0002,30,12.607,61.87,356.76,46.45,3.256,False
AST-0002,31,12.562,56.97,361.37,49.15,3.102,False
AST-0002,32,12.498,58.28,353.62,51.1,3.147,False
AST-0002,33,12.45,59.51,360.26,54.38,2.971,False
AST-0002,34,12.417,57.95,352.34,54.93,3.018,False
AST-0002,35,12.367,60.56,389.55,56.28,3.202,False
AST-0003,0,9.48,70.76,485.21,39.27,0.804,False
AST-0003,1,9.469,73.14,481.17,37.21,0.711,False
AST-0003,2,9.478,74.02,502.67,36.82,0.689,False
AST-0003,3,9.454,72.64,478.63,30.84,0.784,False
AST-0003,4,9.443,70.58,473.18,31.88,0.731,False
AST-0003,5,9.455,71.43,451.83,28.4,0.793,False
AST-0003,6,9.456,69.5,460.7,30.98,0.764,False
AST-0003,7,9.458,68.88,448.31,31.56,0.792,False
AST-0003,8,9.444,68.56,419.87,35.65,0.618,False
AST-0003,9,9.424,66.85,441.34,35.92,0.822,False
AST-0003,10,9.404,67.65,453.95,38.42,0.719,False
AST-0003,11,9.387,66.25,471.95,39.04,0.835,False
AST-0003,12,9.361,70.28,472.02,38.8,0.73,False
AST-0003,13,9.351,69.99,464.99,37.45,0.68,False
AST-0003,14,9.351,71.62,504.6,35.46,0.783,False
AST-0003,15,9.348,73.65,467.37,33.76,0.71,False
AST-0003,16,9.344,73.17,461.35,30.58,0.758,False
AST-0003,17,9.33,72.19,456.75,29.52,0.81,False
AST-0003,18,9.324,70.49,466.95,29.04,0.809,False
AST-0003,19,9.312,71.19,451.72,32.2,0.742,False
AST-0003,20,9.305,66.55,446.14,34.66,0.732,False
AST-0003,21,9.31,67.91,461.46,37.24,0.819,False
AST-0003,22,9.296,68.19,464.95,38.47,0.881,False
AST-0003,23,9.294,162.77,478.5,38.5,2.188,True
